코드값,코드값의미
UAZ999,국토이용기타용도지역지구기타
UBA100,과밀억제권역
UBA200,성장관리권역
UBA300,자연보전권역
UBB000,지역균형개발및중소기업육성미분류
UBB200,개발촉진지구
UBB400,복합단지
UBB500,특정지역
UBB600,지역종합개발지구
UBB999,지역균형개발및중소기업육성기타
UBC100,절대보전지역
UBC200,상대보전지역
UBE100,폐광지역진흥지구
UBF100,산업교역형기업도시
UBF200,지식기반형기업도시
UBF300,관광레져형기업도시
UBF400,혁신거점형기업도시
UBG100,기업도시개발구역
UBH100,지하수자원특별관리구역
UBH200,제주첨단과학기술단지
UBH300,제주투자진흥지구
UBH500,건축계획심의대상구역
UBI100,경제자유구역
UBK001,연구개발특구미분류
UBK100,주거구역
UBK110,전용주거구역
UBK120,일반주거구역
UBK130,준주거구역
UBK200,상업구역
UBK300,녹지구역
UBK400,교육·연구 및 사업화시설구역
UBK500,산업시설구역
UBK502,산업지원구역
UBK503,산업복합구역
UBK504,산업공공시설구역
UBK600,연구개발특구
UBK900,연구개발특구기타
UBL100,지하수자원보전지구
UBL110,지하수자원보전1등급
UBL120,지하수자원보전2등급
UBL130,지하수자원보전3등급
UBL140,지하수자원보전4등급
UBM100,생태계보전지구
UBM110,생태계보전지구1등급
UBM120,생태계보전지구2등급
UBM130,생태계보전지구3등급
UBM140,생태계보전지구4-1등급
UBM150,생태계보전지구4-2등급
UBM160,생태계보전지구5등급
UBN100,경관보전지구
UBN110,경관보전지구1등급
UBN120,경관보전지구2등급
UBN130,경관보전지구3등급
UBN140,경관보전지구4등급
UBN150,경관보전지구5등급
UBO100,예정지역
UBP100,시장정비구역
UBP999,시장정비구역기타
UBQ100,혁신도시개발예정지구
UBQ999,혁신도시개발예정지구기타
UBT100,항만재개발사업구역
UBV100,동·서·남해안권개발구역
UBW100,해양박람회특구
UBY100,지역개발사업구역
UBY999,지역개발사업구역 기타
UB1100,동계올림픽특별구역
UDA100,재정비촉진지구
UDA999,재정비촉진지구기타
UDB100,도청이전신도시 개발예정지구
UDE100,공공지원민간임대주택 공급촉진지구
UDJ100,정비예정구역
UDL100,공공주택지구
UDL200,도심 공공주택 복합지구
UDP100,택지개발지구
UDP999,택지개발지구기타
UDQ000,토지구획정리사업지구미분류
UDQ100,토지구획정리사업지구
UDQ999,토지구획정리사업지구기타
UDR100,재개발구역
UDR999,재개발구역기타
UDS000,주거환경개선지구미분류
UDS100,주거환경개선지구
UDS999,주거환경개선지구기타
UDT000,정비구역미분류
UDT100,정비구역
UDT999,정비구역기타
UDD100,특별관리지역
UDU100,토지형질변경규제지역
UDV100,개발제한구역
UDV999,개발제한구역기타
UDW100,도시개발구역
UDW999,도시개발구역기타
UDX000,건축용도지역미분류
UDX100,건축허가·착공제한지역
UDX200,가로구역별 최고높이 제한지역
UDX999,건축용도지역기타
UDY100,국민임대주택단지예정지구
UDZ000,도시기타용도지역지구미분류
UDZ100,도시기타용도지역지구용도지역지구
UDZ999,도시기타용도지역지구기타
UEA100,농업진흥지역
UEA110,농업진흥구역
UEA120,농업보호구역
UEB100,농어촌주거환경개선지구
UEC000,농어촌정비미분류
UEC100,생활환경정비구역
UEC300,한계농지등 정비지구
UEC400,농업생산기반 정비사업지역
UEC500,마을정비구역
UEC600,농어촌 관광휴양단지
UEC700,공장 등 설립 제한 지역
UEC999,농어촌정비기타
UED100,가축보호지역
UEE100,새만금사업지역
UEF100,농업생산기반시설 및 주변지역 활용구역
UEG100,영농여건불리농지
UEZ999,농업기타용도지역지구기타
UFD100,조수보호구
UFD300,금렵구
UFE000,사방지미분류
UFE100,사방지
UFE999,사방지기타
UFF100,초지
UFH100,임업진흥촉진권역
UFI100,국립수목원완충지역
UFI200,수목원조성예정지
UFJ100,국유림
UFK100,자연휴양림
UFK999,이용형태에따른산림기타
UFL999,산림기타용도지역지구기타
UFM000,보전준보전산지미분류
UFM100,보전산지
UFM110,임업용산지
UFM120,공익용산지
UFM200,준보전산지
UFM999,보전준보전산지기타
UFN100,산지전용·일시사용제한지역
UFN200,채석허가제한지역
UFN500,토석채취제한지역
UFO100,백두대간보호지역
UFO110,핵심구역
UFO120,완충구역
UFP100,임업진흥권역
UFQ300,채종림등
UFQ600,시험림
UFR100,산림보호구역
UFR110,생활환경보호구역
UFR120,수원함양보호구역
UFR130,경관보호구역
UFR140,재해방지보호구역
UFR150,산림유전자원보호구역
UFR999,산림보호구역기타
UFZ999,산림기타용도지역지구기타
UGA000,어항구역미분류
UGA100,어항구역(육역)
UGA200,어항구역(수역)
UGA999,어항구역기타
UGB100,보호수면
UGB300,보호구역
UGC000,연안관리용도지역미분류
UGC100,연안육역
UGC200,핵심관리구역
UGC300,완충관리구역
UGD100,절대보전무인도서
UGD200,준보전무인도서
UGD300,이용가능무인도서
UGD400,개발가능무인도서
UGD999,무인도서기타
UGZ100,수산기타용도지역지구용도지역지구
UHA000,산업단지미분류
UHA100,국가산업단지
UHA200,지방산업단지
UHA210,일반산업단지
UHA220,도시첨단산업단지
UHA300,농공단지
UHA400,특수지역
UHA500,준산업단지
UHA600,공장입지유도지구
UHA700,재생사업지구
UHA999,산업단지기타
UHC100,공장입지금지지역
UHD100,자유무역지역
UHE100,유통단지
UHF100,협동화단지
UHG200,벤처기업육성촉진지구
UHH100,과밀억제지역
UHH200,성장관리지역
UHH300,자연보전지역
UHH999,산업집적활성화및공장설립용도지역기타
UHI000,자유무역지역지정및운영용도지구미분류
UHI100,자유무역지역
UHJ100,산업시설구역
UHJ200,지원시설구역
UHJ300,공공시설구역
UHJ400,녹지구역
UHJ500,복합구역
UHJ999,기타
UHK100,물류단지
UHL100,산업기술단지
UIA100,도로구역
UIA200,접도구역
UIA300,입체적도로구역
UIA400,도로보전입체구역
UIA500,자동차전용도로구역
UIA999,도로용도구역기타
UIB100,고속국도법상의접도구역
UIB999,고속국도법상의기타
UIE100,항만구역
UIE200,연안항
UIE300,무역항
UIE400,지방항만
UIE600,항만배후단지
UIE999,항만기타
UIF100,신항만건설예정지역
UIG100,공항구역
UIG200,공항ㆍ비행장개발예정지역
UIG300,공항소음피해지역
UIG310,제1종구역
UIG320,제2종구역
UIG330,제3종구역
UIG400,공항소음피해예상지역
UIG410,가지구
UIG420,나지구
UIG430,다지구
UIG500,항공표면
UIG510,진입표면구역
UIG520,수평표면구역
UIG530,원추표면구역
UIG540,전이표면구역
UIG550,착륙복행표면구역
UIG560,내부전이표면구역
UIG570,내부진입표면구역
UIG600,장애물제한표면구역
UII100,도시교통정비지역
UIJ100,노상주차장
UIJ200,노외주차장
UIJ300,부설주차장
UIJ400,주차환경개선지구
UIJ500,노외주차장설치제한지역
UIJ999,주차장기타
UIK100,철도보호지구
UIL100,미리나항만구역
UIN100,제1종 구역
UIN200,제2종 구역
UIN300,제3종 구역
UIZ000,교통기타용도지역지구미분류
UJA100,댐건설예정지역
UJB000,하천미분류
UJB100,하천구역
UJB200,하천예정지
UJB300,연안구역
UJB400,홍수관리구역
UJB999,하천기타
UJC100,소하천구역
UJC200,소하천예정지
UJC999,소하천기타
UJD100,온천지구
UJD200,온천공보호구역
UJD300,온천원보호지구
UJE100,지하수보전구역
UJF100,공유수면
UJF200,공유수면매립지
UJG100,친수구역
